"url","player_name","player_games_played","player_games_started","player_minutes_per_game","player_points_per_game","player_offensive_rebounds__per_game","player_defensive_rebounds_per_game","player_rebounds_per_game","player_assists_per_game","player_steals_per_game","player_blocks_per_game","player_turnovers_per_game","player_fouls_per_game","player_assist_to_turnover_ratio","team","season_type","season_year","player_id"
"https://www.espn.com/nba/player/_/id/4279815/terry-taylor?year=2021-22&team=IND","Terry Taylor",33,7,21.6,9.6,2.9,2.3,5.2,1.2,0.4,0.2,0.7,1.8,1.7,"IND","Not clear","2021-22",
"https://www.espn.com/nba/player/_/id/4592492/bones-hyland?year=2022-23&team=LAC","Bones Hyland",69,4,19,10.1,0.2,2.5,2.7,2.8,0.6,0.3,1.2,2.2,2.3,"DEN","Not clear","2021-22",
"https://www.espn.com/nba/player/_/id/348/eddie-house?year=2003-04&team=LAC","Eddie House",50,0,11,5,0.1,0.7,0.8,1,0.3,0,0.7,1.2,1.4,"MIA","Not clear","2000-01",
"https://www.espn.com/nba/player/_/id/1724/tayshaun-prince?year=2014-15&team=MEM","Tayshaun Prince",63,63,33.1,12.7,1.1,3.3,4.5,2.4,0.4,0.5,1.2,1.2,2,"DET","Not clear","2011-12",
"https://www.espn.com/nba/player/_/id/4396971/naz-reid","Naz Reid",30,11,16.5,9,1.1,3,4.1,1.2,0.6,0.7,0.7,2.8,1.7,"MIN","Not clear","2019-20",
"https://www.espn.com/nba/player/_/id/4230550/elie-okobo?year=2018-19&team=PHX","Elie Okobo",53,16,18.1,5.7,0.2,1.6,1.8,2.4,0.6,0.1,1.3,2.1,1.8,"PHX","Not clear","2018-19",
"https://www.espn.com/nba/player/_/id/4269/nemanja-bjelica?year=2020-21&team=SAC","Nemanja Bjelica",60,0,17.9,5.1,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,1.7,"MIN","Not clear","2015-16",
"https://www.espn.com/nba/player/_/id/2423/dorell-wright?year=2008-09&team=MIA","Dorell Wright",3,0,9,2.3,0,0.3,0.3,1,1.3,0,1,0.7,1,"MIA","Not clear","2004-05",
"https://www.espn.com/nba/player/stats/_/id/6618/thomas-robinson","Thomas Robinson",51,0,15.9,4.8,1.8,2.9,4.7,0.7,0.5,0.4,1.3,1.9,0.5,"SAC","Regular season","2012-13",
"https://www.espn.com/nba/player/_/id/3986/taj-gibson?year=2014-15&team=CHI","Taj Gibson",82,82,33.3,12.2,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,1.1,"MIN","Not clear","2017-18",
"https://www.espn.com/nba/player/_/id/2411/josh-smith?year=2004-05&team=ATL","Josh Smith",76,76,35.3,17.5,1.8,6.7,8.4,4.2,1.2,1.8,3,2.3,1.4,"ATL","Not clear","2012-13",
"https://www.espn.com/nba/player/_/id/655/wesley-person?year=2003-04&team=POR","Wesley Person",78,56,23.1,10.4,0.9,1.7,2.6,1.3,0.6,0.3,1,1.9,1.3,"PHX","Not clear","1994-95",
"https://www.espn.com/nba/player/_/id/15/kenny-anderson?year=2004-05&team=LAC","Kenny Anderson",34,33,29.7,12.1,0.7,2.3,3,5.7,1,0.1,2.1,2.3,2.7,"BOS","Not clear","1998-99",
"https://www.espn.com/nba/player/_/id/4232/alonzo-gee?year=2010-11&team=SA","Alonzo Gee",11,2,16.5,7.4,1.4,1.6,3,0.6,0.6,0.1,0.9,1.2,0.7,"WSH","Not clear","2009-10",
"https://www.espn.com/nba/player/_/id/3132042/gary-clark","Gary Clark",51,2,12.6,2.9,0.5,1.8,2.3,0.4,0.4,0.5,0.1,0.9,4,"HOU","Not clear","2018-19",
"https://www.espn.com/nba/player/_/id/3882/alexey-shved?year=2012-13&team=MIN","Alexey Shved",77,16,23.9,8.6,0.5,1.7,2.3,3.7,0.7,0.4,1.9,1.5,1.9,"MIN","Not clear","2012-13",
